user_id,product_id,action,timestamp,interaction_id
user_1,prod_15,like,2024-11-15T08:30:00,
user_2,prod_28,view,2024-11-16T10:45:00,
user_3,prod_7,dislike,2024-11-17T12:20:00,
user_4,prod_22,purchase,2024-11-18T14:10:00,
user_5,prod_10,like,2024-11-19T09:15:00,
user_6,prod_33,view,2024-11-20T11:30:00,
user_7,prod_19,purchase,2024-11-21T13:45:00,
user_8,prod_45,like,2024-11-22T15:20:00,
user_9,prod_12,view,2024-11-23T10:00:00,
user_10,prod_8,dislike,2024-11-24T12:15:00,
user_11,prod_50,purchase,2024-11-25T14:30:00,
user_12,prod_27,like,2024-11-26T09:45:00,
user_13,prod_14,view,2024-11-27T11:00:00,
user_14,prod_36,purchase,2024-11-28T13:15:00,
user_15,prod_9,like,2024-11-29T10:30:00,
user_16,prod_41,view,2024-11-30T12:45:00,
user_17,prod_23,dislike,2024-12-01T14:00:00,
user_18,prod_18,purchase,2024-12-02T16:15:00,
user_19,prod_31,like,2024-12-03T11:30:00,
user_20,prod_44,view,2024-12-04T13:45:00,
user_21,prod_17,purchase,2024-12-05T15:00:00,
user_22,prod_29,like,2024-12-06T10:15:00,
user_23,prod_38,view,2024-12-07T12:30:00,
user_24,prod_25,dislike,2024-12-08T14:45:00,
user_25,prod_46,purchase,2024-12-09T16:00:00,
user_26,prod_13,like,2024-12-10T11:15:00,
user_27,prod_21,view,2024-12-11T13:30:00,
user_28,prod_37,purchase,2024-12-12T15:45:00,
user_29,prod_32,like,2024-12-13T10:00:00,
user_30,prod_48,view,2024-12-14T12:15:00,
user_31,prod_11,dislike,2024-12-15T14:30:00,
user_32,prod_39,purchase,2024-12-16T16:45:00,
user_33,prod_20,like,2024-12-17T11:00:00,
user_34,prod_35,view,2024-12-18T13:15:00,
user_35,prod_26,purchase,2024-12-19T15:30:00,
user_36,prod_42,like,2024-12-20T10:45:00,
user_37,prod_49,view,2024-12-21T12:00:00,
user_38,prod_16,dislike,2024-12-22T14:15:00,
user_39,prod_43,purchase,2024-12-23T16:30:00,
user_40,prod_30,like,2024-12-24T11:45:00,
user_41,prod_47,view,2024-12-25T13:00:00,
user_42,prod_24,purchase,2024-12-26T15:15:00,
user_43,prod_34,like,2024-12-27T10:30:00,
user_44,prod_40,view,2024-12-28T12:45:00,
user_45,prod_51,dislike,2024-12-29T14:00:00,
user_46,prod_53,purchase,2024-12-30T16:15:00,
user_47,prod_52,like,2024-12-31T11:30:00,
user_48,prod_54,view,2025-01-01T13:45:00,
user_49,prod_55,purchase,2025-01-02T15:00:00,
user_50,prod_6,like,2025-01-03T10:15:00,
694f818414574911a37130c1,68c670c534d2e7ec62686d99,like,2026-01-12T10:42:23.602Z,6964aac2b6c6d5b0b7fbc5cf
